['MAMO', 'ml-100k', 'embedding(8);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(16);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(32);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(64);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(128);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-1m', 'embedding(8);', 0.5438, 0.5438, 0.9968, 0.552, 0.7609]
['MAMO', 'ml-1m', 'embedding(16);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(32);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'book-crossing', 'embedding(8);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(16);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(32);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(8);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(16);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(32);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(64);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(128);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'ml-100k', 'embedding(8);train_batch_size(256);', 0.6103, 0.6103, 1.0, 0.5929, 0.7144]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(8);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(16);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(32);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(64);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(128);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'book-crossing', 'embedding(8);train_batch_size(256);', 0.6413, 0.6413, 1.0, 0.6621, 0.8343]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(8);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(16);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(32);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
['MAMO', 'ml-1m', 'embedding(16);train_batch_size(64);', 0.5923, 0.5923, 0.9968, 0.6079, 0.8073]
